都府県振興局,観測所番号,種類,観測所名,ｶﾀｶﾅ名,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ),風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2
宗谷,11001,四,宗谷岬,ｿｳﾔﾐｻｷ,稚内市宗谷岬,45,31.2,141,56.1,26,10,1.5,昭53.10.30,－,－
宗谷,11016,官,稚内,ﾜｯｶﾅｲ,稚内市開運　稚内地方気象台,45,24.9,141,40.7,3,23.5,－,#昭50.4.1,11903,－
宗谷,11046,四,礼文,ﾚﾌﾞﾝ,礼文郡礼文町大字香深村字トンナイ,45,18.3,141,2.7,65,6.5,1.5,平15.10.17,－,－
宗谷,11076,四,浜鬼志別,ﾊﾏｵﾆｼﾍﾞﾂ,宗谷郡猿払村浜鬼志別,45,20.1,142,10.2,13,6.5,1.5,昭53.10.30,11900,－
宗谷,11121,四,沼川,ﾇﾏｶﾜ,稚内市声問村字沼川,45,14.9,141,51.1,23,8,1.5,昭52.10.20,11905,－
宗谷,11151,四,沓形,ｸﾂｶﾞﾀ,利尻郡利尻町沓形字泉町,45,10.7,141,8.3,14,6.5,1.5,#昭52.10.24,－,－
宗谷,11176,四,豊富,ﾄﾖﾄﾐ,天塩郡豊富町字豊富東2条,45,6.1,141,46.8,14,10,1.5,(昭50.5.29)昭52.10.25,11910,－
宗谷,11206,四,浜頓別,ﾊﾏﾄﾝﾍﾞﾂ,枝幸郡浜頓別町クッチャロ湖畔,45,7.5,142,21,18,10,2.5,#昭52.10.19,－,－
宗谷,11276,四,中頓別,ﾅｶﾄﾝﾍﾞﾂ,枝幸郡中頓別町上駒,44,57.9,142,16.8,25,10.2,1.5,(昭50.5.28)昭52.10.19,11915,－
宗谷,11291,官,北見枝幸,ｷﾀﾐｴｻｼ,枝幸郡枝幸町本町　北見枝幸特別地域気象観測所,44,56.4,142,35.1,7,17.2,－,#昭51.1.1,11917,－
宗谷,11316,四,歌登,ｳﾀﾉﾎﾞﾘ,枝幸郡枝幸町歌登東町,44,50.5,142,28.8,14,10,1.5,#昭52.10.25,11920,－
上川,12011,四,中川,ﾅｶｶﾞﾜ,中川郡中川町中川,44,49.7,142,4.6,22,10,1.5,昭52.10.19,－,－
上川,12041,四,音威子府,ｵﾄｲﾈｯﾌﾟ,中川郡音威子府村音威子府,44,43.6,142,15.9,40,10,1.5,昭52.10.17,12905,－
上川,12141,四,美深,ﾋﾞﾌｶ,中川郡美深町西町,44,28.8,142,20.5,77,10,1.5,#昭52.10.6,12900,－
上川,12181,四,名寄,ﾅﾖﾛ,名寄市大橋,44,22.2,142,27.4,89,8,2.6,#昭51.4.1,12910,－
上川,12231,四,下川,ｼﾓｶﾜ,上川郡下川町南町,44,17.7,142,38.2,143,10,2.4,#昭52.10.14,12925,－
上川,12261,四,士別,ｼﾍﾞﾂ,士別市武徳町,44,11.2,142,25,135,8,1.5,#昭52.10.13,－,－
上川,12266,四,朝日,ｱｻﾋ,士別市朝日町中央,44,7.1,142,35.7,225,10,1.5,昭52.10.13,－,－
上川,12301,四,和寒,ﾜｯｻﾑ,上川郡和寒町字日ノ出,44,1.7,142,24.6,150,10,1.5,昭52.10.12,12915,－
上川,12386,四,江丹別,ｴﾀﾝﾍﾞﾂ,旭川市江丹別町芳野,43,52.2,142,15.6,140,10,3.2,昭52.10.11,－,－
上川,12396,四,比布,ﾋﾟｯﾌﾟ,上川郡比布町北町,43,52.5,142,28.8,175,10,2.5,(昭50.5.27)昭52.10.11,－,－
上川,12411,四,上川,ｶﾐｶﾜ,上川郡上川町栄町,43,50.8,142,45.2,324,10,2.4,#昭52.10.12,12920,－
上川,12442,官,旭川,ｱｻﾋｶﾜ,旭川市宮前1条　旭川地方気象台,43,45.4,142,22.3,120,46.4,－,平16.9.9,12927,－
上川,12451,四,東川,ﾋｶﾞｼｶﾜ,上川郡東川町北町,43,42.1,142,30.5,215,10,2.2,昭52.10.5,－,－
上川,12512,四,志比内,ｼﾋﾞﾅｲ,上川郡東神楽町志比内,43,38.6,142,34.9,310,10,1.5,平4.10.9,－,－
上川,12551,四,美瑛,ﾋﾞｴｲ,上川郡美瑛町原野5線,43,35.3,142,29.6,250,10,1.5,(昭50.5.28)昭52.10.6,12935,－
上川,12596,四,上富良野,ｶﾐﾌﾗﾉ,空知郡上富良野町大町,43,27.3,142,27.9,220,10,2.1,昭52.10.8,－,－
上川,12626,四,富良野,ﾌﾗﾉ,富良野市東町,43,20,142,24,174,9.4,2.2,#昭51.4.1,12940,－
上川,12632,四,麓郷,ﾛｸｺﾞｳ,富良野市麓郷市街地,43,18.1,142,31.3,315,10,2.3,昭53.10.25,－,－
上川,12691,四,幾寅,ｲｸﾄﾗ,空知郡南富良野町幾寅,43,10.1,142,34.1,350,9.4,1.5,昭52.10.7,12945,－
上川,12746,四,占冠,ｼﾑｶｯﾌﾟ,勇払郡占冠村シムカップ,42,58.7,142,23.7,332,10,1.5,昭52.10.7,12950,－
上川,15041,四,朱鞠内,ｼｭﾏﾘﾅｲ,雨竜郡幌加内町朱鞠内,44,16.9,142,9.7,255,10,1.5,昭53.10.24,15900,－
上川,15076,四,幌加内,ﾎﾛｶﾅｲ,雨竜郡幌加内町幌加内,44,0.6,142,9.6,159,9.4,1.5,(昭50.5.28)昭52.10.28,15905,－
留萌,13061,四,天塩,ﾃｼｵ,天塩郡天塩町川口,44,53.6,141,45.7,9,10,1.5,#昭52.10.26,13900,－
留萌,13086,四,遠別,ｴﾝﾍﾞﾂ,天塩郡遠別町幸和,44,43.1,141,48.4,7,10,1.5,#昭52.10.26,－,－
留萌,13121,四,初山別,ｼｮｻﾝﾍﾞﾂ,苫前郡初山別村初山別,44,31.4,141,46.2,27,10,1.5,昭52.10.28,13905,－
留萌,13146,四,焼尻,ﾔｷﾞｼﾘ,苫前郡羽幌町焼尻白浜,44,25.7,141,25.3,38,8,1.5,昭52.10.27,－,－
留萌,13181,官,羽幌,ﾊﾎﾞﾛ,苫前郡羽幌町南3条　羽幌特別地域気象観測所,44,21.8,141,42,8,21.6,－,#昭51.1.1,13907,－
留萌,13261,四,達布,ﾀｯﾌﾟ,留萌郡小平町達布,44,2.9,141,51.4,30,10,3.4,昭52.10.31,－,－
留萌,13277,官,留萌,ﾙﾓｲ,留萌市大町　留萌特別地域気象観測所,43,56.7,141,37.9,24,16.3,－,昭55.6.21,13915,－
留萌,13311,四,増毛,ﾏｼｹ,増毛郡増毛町別苅,43,50.9,141,30.6,20,9.4,1.5,#昭53.10.24,－,－
留萌,13321,四,幌糠,ﾎﾛﾇｶ,留萌市幌糠町,43,51.2,141,45.6,20,10,1.5,昭52.10.31,13920,－
石狩,14026,四,浜益,ﾊﾏﾏｽ,石狩市浜益区川下,43,34.9,141,23.2,3,10,1.5,昭52.10.12,－,－
石狩,14071,四,厚田,ｱﾂﾀ,石狩市厚田区別狩,43,23.8,141,26.2,5,10,1.5,昭52.10.12,14900,－
石狩,14101,四,新篠津,ｼﾝｼﾉﾂ,石狩郡新篠津村第46線北,43,13.2,141,38.7,9,10,1.5,#昭53.10.23,14910,－
石狩,14116,四,山口,ﾔﾏｸﾞﾁ,札幌市手稲区手稲山口,43,8.9,141,13.3,5,10,1.5,#昭52.10.11,－,－
石狩,14121,四,石狩,ｲｼｶﾘ,石狩市生振,43,11.6,141,22.2,5,10,1.5,平2.3.6,14905,－
石狩,14136,四,江別,ｴﾍﾞﾂ,江別市江別太,43,6.6,141,36.1,8,8,1.5,平12.10.31,－,－
石狩,14163,官,札幌,ｻｯﾎﾟﾛ,札幌市中央区北2条西　札幌管区気象台,43,3.6,141,19.7,17,－,－,平13.9.26,14913,気温、雨、日照
石狩,14206,四,恵庭島松,ｴﾆﾜｼﾏﾏﾂ,恵庭市下島松,42,55.6,141,33.9,30,10,1.5,#昭52.10.13,14920,－
石狩,14286,四,支笏湖畔,ｼｺﾂｺﾊﾝ,千歳市支笏湖温泉番外地,42,46.3,141,24.4,290,10,1.5,#昭52.10.14,－,－
空知,15116,四,石狩沼田,ｲｼｶﾘﾇﾏﾀ,雨竜郡沼田町緑町,43,48.9,141,55.6,63,10,1.5,#昭51.4.1,－,－
空知,15161,四,深川,ﾌｶｶﾞﾜ,深川市一已町一已,43,43.1,142,4.4,55,10,1.5,#昭52.10.7,15910,－
空知,15231,四,空知吉野,ｿﾗﾁﾖｼﾉ,樺戸郡新十津川町吉野,43,35.7,141,43.9,100,10,1.5,昭53.11.2,－,－
空知,15241,四,滝川,ﾀｷｶﾜ,滝川市南滝の川,43,34.2,141,56.3,50,9.6,1.5,#昭51.4.1,15930,－
空知,15251,四,芦別,ｱｼﾍﾞﾂ,芦別市北2条東,43,31.2,142,11.4,91,10,1.5,#昭53.10.25,15915,－
空知,15311,四,月形,ﾂｷｶﾞﾀ,樺戸郡月形町知来乙,43,19.8,141,37,50,10,1.5,(昭50.5.16)昭52.10.6,－,－
空知,15321,四,美唄,ﾋﾞﾊﾞｲ,美唄市北美唄町二区,43,21.8,141,49.6,16,10,1.5,#昭52.10.5,15920,－
空知,15356,官,岩見沢,ｲﾜﾐｻﾞﾜ,岩見沢市5条東　岩見沢特別地域気象観測所,43,12.7,141,47.1,42,22.1,－,#昭50.4.3,15923,－
空知,15431,四,長沼,ﾅｶﾞﾇﾏ,夕張郡長沼町本町北,43,0.7,141,41.6,13,10,2.5,#昭52.10.5,－,－
空知,15442,四,夕張,ﾕｳﾊﾞﾘ,夕張市鹿の谷山手町,43,2.3,141,57.4,293,9.4,1.5,#昭51.4.1,15925,－
後志,16026,四,美国,ﾋﾞｸﾆ,積丹郡積丹町美国町字船澗,43,16.3,140,33.8,75,10,1.5,#昭52.10.25,－,－
後志,16061,四,神恵内,ｶﾓｴﾅｲ,古宇郡神恵内村大字神恵内村,43,8.7,140,25.4,50,10,1.5,昭52.10.24,－,－
後志,16076,四,余市,ﾖｲﾁ,余市郡余市町豊丘町,43,10.9,140,45.5,20,10,1.5,#昭52.10.31,16905,－
後志,16091,官,小樽,ｵﾀﾙ,小樽市勝納町　小樽特別地域気象観測所,43,10.9,141,0.9,25,13.6,－,#昭50.12.23,16903,－
後志,16156,四,共和,ｷｮｳﾜ,岩内郡共和町南幌似,42,58.8,140,36.2,15,10,1.5,#昭52.10.24,16910,－
後志,16206,四,蘭越,ﾗﾝｺｼ,磯谷郡蘭越町蘭越,42,48.6,140,32.5,39,8,1.5,#昭52.10.20,16915,－
後志,16217,官,倶知安,ｸｯﾁｬﾝ,虻田郡倶知安町南1条東　倶知安特別地域気象観測所,42,54,140,45.4,176,30.8,－,平3.8.28,16917,－
後志,16252,官,寿都,ｽｯﾂ,寿都郡寿都町新栄町　寿都特別地域気象観測所,42,47.7,140,13.4,33,17.6,－,平元.9.22,16918,－
後志,16281,四,真狩,ﾏｯｶﾘ,虻田郡真狩村美原,42,46.5,140,52.8,440,10,3.3,(昭50.7.1)昭53.10.27,－,－
後志,16286,四,喜茂別,ｷﾓﾍﾞﾂ,虻田郡喜茂別町伏見,42,47.6,140,56.9,264,10,2.9,#昭52.10.21,16920,－
後志,16321,四,黒松内,ｸﾛﾏﾂﾅｲ,寿都郡黒松内町黒松内,42,39.8,140,18.6,27,10,1.5,#昭52.10.20,16925,－
ｵﾎｰﾂｸ,17036,官,雄武,ｵｳﾑ,紋別郡雄武町雄武　雄武特別地域気象観測所,44,34.8,142,57.8,14,16.6,－,#昭50.12.1,17903,－
ｵﾎｰﾂｸ,17076,四,興部,ｵｺｯﾍﾟ,紋別郡興部町興部,44,28.2,143,6.5,8,10,2.5,#昭52.10.28,－,－
ｵﾎｰﾂｸ,17091,四,西興部,ﾆｼｵｺｯﾍﾟ,紋別郡西興部村西興部,44,19.9,142,56.1,120,8,2.5,(昭50.7.1)昭52.10.28,17900,－
ｵﾎｰﾂｸ,17112,官,紋別,ﾓﾝﾍﾞﾂ,紋別市南が丘町　紋別特別地域気象観測所,44,20.7,143,21.3,16,13.6,－,昭58.1.1,17904,－
ｵﾎｰﾂｸ,17166,四,湧別,ﾕｳﾍﾞﾂ,紋別郡湧別町東,44,12.8,143,37.1,5,9.4,2.5,#昭52.10.26,－,－
ｵﾎｰﾂｸ,17196,四,滝上,ﾀｷﾉｳｴ,紋別郡滝上町滝ノ上原野5線南,44,10.6,143,3.7,165,10,2.5,#昭52.10.27,17905,－
ｵﾎｰﾂｸ,17246,四,常呂,ﾄｺﾛ,北見市常呂町字岐阜,44,6.9,144,2.2,3,10,2.5,#昭52.10.21,－,－
ｵﾎｰﾂｸ,17306,四,遠軽,ｴﾝｶﾞﾙ,紋別郡遠軽町東町,44,3.2,143,32.4,80,6.4,2.5,#昭52.10.24,17910,－
ｵﾎｰﾂｸ,17316,四,佐呂間,ｻﾛﾏ,常呂郡佐呂間町西富,44,1.1,143,45.6,54,10,2.5,#昭52.10.21,17915,－
ｵﾎｰﾂｸ,17341,官,網走,ｱﾊﾞｼﾘ,網走市台町　網走地方気象台,44,1,144,16.7,38,15.6,－,#昭50.4.1,17917,－
ｵﾎｰﾂｸ,17351,四,宇登呂,ｳﾄﾛ,斜里郡斜里町ウトロ高原,44,3.1,144,58.9,144,10,2.5,(昭50.5.12)昭53.10.26,17935,－
ｵﾎｰﾂｸ,17482,四,白滝,ｼﾗﾀｷ,紋別郡遠軽町白滝北支湧別,43,51.9,143,9.2,475,10,2.5,(昭50.9.25)平5.1.27,17955,－
ｵﾎｰﾂｸ,17501,四,生田原,ｲｸﾀﾊﾗ,紋別郡遠軽町生田原,43,55,143,31.9,199,10,2.5,#昭52.10.25,－,－
ｵﾎｰﾂｸ,17521,四,北見,ｷﾀﾐ,北見市広郷,43,46.6,143,50.5,104,10,2.5,#昭51.4.1,17925,－
ｵﾎｰﾂｸ,17546,四,小清水,ｺｼﾐｽﾞ,斜里郡小清水町字泉,43,50.5,144,29.1,52,10,1.5,#昭52.10.19,－,－
ｵﾎｰﾂｸ,17561,四,斜里,ｼｬﾘ,斜里郡斜里町以久科南,43,53.1,144,42,15,10,2.5,#昭52.10.19,17940,－
ｵﾎｰﾂｸ,17596,四,留辺蘂,ﾙﾍﾞｼﾍﾞ,北見市留辺蘂町大和,43,44.5,143,27,325,10,2.5,#昭53.11.1,17930,－
ｵﾎｰﾂｸ,17607,四,境野,ｻｶｲﾉ,常呂郡置戸町豊住,43,42.4,143,38.6,184,10,2.5,昭52.10.25,－,－
ｵﾎｰﾂｸ,17631,四,美幌,ﾋﾞﾎﾛ,網走郡美幌町福住,43,46.2,144,10.3,60,10.1,1.5,#昭52.10.20,－,－
ｵﾎｰﾂｸ,17717,四,津別,ﾂﾍﾞﾂ,網走郡津別町豊永,43,42.1,144,2,100,10,2.5,昭63.10.4,17950,－
根室,18038,四,羅臼,ﾗｳｽ,目梨郡羅臼町栄町,44,1.4,145,11.2,15,9.5,1.5,平17.11.1,18925,－
根室,18136,四,標津,ｼﾍﾞﾂ,標津郡標津町北2条西,43,39.7,145,7.9,3,8,2.2,#昭52.10.18,－,－
根室,18161,四,上標津,ｶﾐｼﾍﾞﾂ,標津郡中標津町字上標津,43,31.2,144,44.8,181,6.5,2.2,平15.10.16,－,－
根室,18171,四,中標津,ﾅｶｼﾍﾞﾂ,標津郡中標津町桜ケ丘,43,32.6,144,58.7,50,6.5,1.5,#昭52.10.18,18910,－
根室,18256,四,別海,ﾍﾞﾂｶｲ,野付郡別海町川上町,43,22.9,145,7.1,23,10,2.2,#昭52.10.14,18915,－
根室,18273,官,根室,ﾈﾑﾛ,根室市弥栄町　根室特別地域気象観測所,43,19.8,145,35.1,25,29.2,－,平5.8.26,18917,－
根室,18281,四,納沙布,ﾉｻｯﾌﾟ,根室市温根元,43,23.6,145,45.5,12,6.5,1.5,(昭50.5.29)昭52.10.13,－,－
根室,18311,四,厚床,ｱｯﾄｺ,根室市西厚床,43,13.3,145,13.6,41,10,1.5,昭52.10.14,18920,－
釧路,19021,四,川湯,ｶﾜﾕ,川上郡弟子屈町川湯駅前,43,37,144,27.4,158,9.5,1.5,#昭52.10.6,19900,－
釧路,19051,四,弟子屈,ﾃｼｶｶﾞ,川上郡弟子屈町弟子屈原野,43,30.6,144,28,170,10,1.5,昭52.10.6,－,－
釧路,19076,四,阿寒湖畔,ｱｶﾝｺﾊﾝ,釧路市阿寒町阿寒湖温泉,43,26.2,144,5.1,450,9.9,1.5,#昭52.10.7,19910,－
釧路,19151,四,標茶,ｼﾍﾞﾁｬ,川上郡標茶町開運,43,17.5,144,35.2,20,10,1.5,#昭52.10.11,19915,－
釧路,19191,四,鶴居,ﾂﾙｲ,阿寒郡鶴居村鶴居東,43,13.9,144,19.5,38,6.5,1.5,昭52.10.5,19920,－
釧路,19261,四,中徹別,ﾅｶﾃｼﾍﾞﾂ,釧路市阿寒町徹別中央34線,43,11.9,144,8.5,80,10,1.5,#昭52.10.7,19925,－
釧路,19311,四,榊町,ｻｶｷﾏﾁ,厚岸郡浜中町榊町,43,7.2,145,6.6,2,9.5,1.5,昭52.10.12,－,－
釧路,19376,四,太田,ｵｵﾀ,厚岸郡厚岸町太田,43,5.4,144,46.7,85,10,1.5,昭52.10.11,19930,－
釧路,19416,四,白糠,ｼﾗﾇｶ,白糠郡白糠町西2条北,42,58.2,144,3.7,9,10,1.5,#昭52.10.5,19940,－
釧路,19432,官,釧路,ｸｼﾛ,釧路市幸町　釧路地方気象台,42,59.1,144,22.6,5,66.1,－,平12.10.5,19950,－
釧路,19451,四,知方学,ﾁｯﾎﾟﾏﾅｲ,釧路郡釧路町仙鳳趾村知方学,42,56.3,144,44.1,149,6.6,1.5,昭53.10.27,－,－
十勝,20146,四,陸別,ﾘｸﾍﾞﾂ,足寄郡陸別町陸別原野分線,43,28.1,143,44.3,207,8.2,1.5,#昭52.10.21,20900,－
十勝,20186,四,ぬかびら源泉郷,ﾇｶﾋﾞﾗｹﾞﾝｾﾝｷｮｳ,河東郡上士幌町ぬかびら源泉郷北区,43,22,143,11.5,540,8.1,1.5,昭51.4.1,20910,－
十勝,20266,四,上士幌,ｶﾐｼﾎﾛ,河東郡上士幌町東4線,43,14.1,143,18.2,295,10,1.5,#昭52.10.20,20920,－
十勝,20276,四,足寄,ｱｼｮﾛ,足寄郡足寄町南1条,43,14.6,143,33.2,90,10,1.5,#昭52.10.21,－,－
十勝,20341,四,本別,ﾎﾝﾍﾞﾂ,中川郡本別町新町,43,7.9,143,36,67,8,1.5,#昭51.3.10,20935,－
十勝,20356,四,新得,ｼﾝﾄｸ,上川郡新得町4条南,43,4.6,142,50.4,178,8.3,1.5,#昭52.10.24,20930,－
十勝,20361,四,鹿追,ｼｶｵｲ,河東郡鹿追町緑町,43,6.2,142,59.7,206,8,1.5,#昭53.10.30,－,－
十勝,20371,四,駒場,ｺﾏﾊﾞ,河東郡音更町駒場北町,43,3,143,11,112,10,1.5,昭52.10.20,－,－
十勝,20421,四,芽室,ﾒﾑﾛ,河西郡芽室町西3条南,42,54,143,2.6,90,10,1.5,#昭52.10.24,20940,－
十勝,20432,官,帯広,ｵﾋﾞﾋﾛ,帯広市東4条南　帯広測候所,42,55.3,143,12.7,38,－,－,平10.1.28,20943,気温、雨
十勝,20441,四,池田,ｲｹﾀﾞ,中川郡池田町清見,42,55.2,143,27.5,42,10,1.5,#昭52.10.26,－,－
十勝,20506,四,浦幌,ｳﾗﾎﾛ,十勝郡浦幌町桜町,42,48.5,143,39.4,20,8.3,1.5,#昭52.10.27,20945,－
十勝,20556,四,糠内,ﾇｶﾅｲ,中川郡幕別町五位,42,47.2,143,19.7,70,10,1.5,昭53.10.30,－,－
十勝,20601,四,上札内,ｶﾐｻﾂﾅｲ,河西郡中札内村元札内西1線,42,38.5,143,5.8,251,10,1.5,昭52.10.25,20950,－
十勝,20606,四,更別,ｻﾗﾍﾞﾂ,河西郡更別村更別南2線,42,39.1,143,11.7,185,10,1.5,昭52.10.25,－,－
十勝,20631,四,大津,ｵｵﾂ,中川郡豊頃町大津寿町,42,41.2,143,38.8,4,10,1.5,昭52.10.27,－,－
十勝,20696,四,大樹,ﾀｲｷ,広尾郡大樹町柏木町,42,30,143,16.4,87,10,1.5,#昭52.10.26,20960,－
十勝,20751,官,広尾,ﾋﾛｵ,広尾郡広尾町並木通東　広尾特別地域気象観測所,42,17.6,143,19,32,20.1,－,#昭50.12.19,20965,－
胆振,21111,四,厚真,ｱﾂﾏ,勇払郡厚真町朝日,42,43.8,141,53.3,20,10,1.5,#昭52.10.5,－,－
胆振,21126,四,穂別,ﾎﾍﾞﾂ,勇払郡むかわ町穂別,42,45.7,142,8.6,56,10,1.5,#昭52.10.5,21905,－
胆振,21161,四,大滝,ｵｵﾀｷ,伊達市大滝区本町,42,40.2,141,4.7,390,10,2.5,(昭50.6.3)昭52.10.7,21910,－
胆振,21171,四,森野,ﾓﾘﾉ,白老郡白老町森野,42,37.8,141,14.8,170,10,1.5,#昭52.10.27,－,－
胆振,21187,官,苫小牧,ﾄﾏｺﾏｲ,苫小牧市しらかば町　苫小牧特別地域気象観測所,42,37.4,141,32.8,6,20.2,－,昭63.6.25,21913,－
胆振,21226,四,大岸,ｵｵｷｼ,虻田郡豊浦町大岸,42,35.4,140,38.6,4,10,1.5,#昭52.10.11,21915,－
胆振,21261,四,白老,ｼﾗｵｲ,白老郡白老町高砂町,42,32.6,141,21.1,6,6.5,1.5,#昭52.10.6,21920,－
胆振,21276,四,鵡川,ﾑｶﾜ,勇払郡むかわ町豊城,42,35.4,141,56,10,6.5,1.5,#昭53.10.26,－,－
胆振,21297,四,伊達,ﾀﾞﾃ,伊達市館山下町,42,28.5,140,50.9,3,10,1.5,#昭52.10.11,－,－
胆振,21312,四,登別,ﾉﾎﾞﾘﾍﾞﾂ,登別市札内町,42,27.5,141,7.1,197,10,1.5,#昭58.8.10,21925,－
胆振,21323,官,室蘭,ﾑﾛﾗﾝ,室蘭市山手町　室蘭地方気象台,42,18.7,140,58.5,40,18.2,－,#昭60.7.1,21930,－
日高,22036,四,日高,ﾋﾀﾞｶ,沙流郡日高町本町東,42,52.6,142,26.5,280,10,1.5,昭52.10.19,22900,－
日高,22141,四,日高門別,ﾋﾀﾞｶﾓﾝﾍﾞﾂ,沙流郡日高町字富浜,42,29.8,142,3.2,47,10,1.5,#昭51.3.11,－,－
日高,22156,四,新和,ｼﾝﾜ,新冠郡新冠町新和,42,32.6,142,20,60,10,1.9,#昭52.10.18,－,－
日高,22241,四,静内,ｼｽﾞﾅｲ,日高郡新ひだか町静内山手町,42,20.6,142,21.7,10,9.6,1.5,#昭52.10.17,22920,－
日高,22291,四,三石,ﾐﾂｲｼ,日高郡新ひだか町三石美野和,42,14.7,142,39.7,10,10,1.5,昭52.10.17,－,－
日高,22306,四,中杵臼,ﾅｶｷﾈｳｽ,浦河郡浦河町上杵臼,42,13.4,142,56.9,80,10,1.5,昭53.10.31,22910,－
日高,22327,官,浦河,ｳﾗｶﾜ,浦河郡浦河町潮見町　浦河特別地域気象観測所,42,9.7,142,46.6,37,18.1,－,#昭58.3.1,22913,－
日高,22391,四,えりも岬,ｴﾘﾓﾐｻｷ,幌泉郡えりも町東洋,41,55.5,143,14.6,63,8,1.5,昭53.12.27,－,－
渡島,23031,四,長万部,ｵｼｬﾏﾝﾍﾞ,山越郡長万部町栄原,42,31.4,140,22.9,10,10,1.5,#昭52.10.12,23900,－
渡島,23086,四,八雲,ﾔｸﾓ,二海郡八雲町本町,42,15.1,140,16.3,8,9.4,1.5,#昭52.10.12,23905,－
渡島,23166,四,森,ﾓﾘ,茅部郡森町姫川,42,4,140,35.3,125,8,1.5,平14.3.1,23925,－
渡島,23206,四,川汲,ｶｯｸﾐ,函館市川汲町,41,54.3,140,58.2,25,10,1.5,#昭52.10.13,－,－
渡島,23226,四,北斗,ﾎｸﾄ,北斗市本町,41,53.2,140,39.2,25,10,1.5,#昭52.10.13,－,－
渡島,23232,官,函館,ﾊｺﾀﾞﾃ,函館市美原　函館地方気象台,41,49,140,45.2,35,25.7,－,平4.7.23,23915,－
渡島,23326,四,木古内,ｷｺﾅｲ,上磯郡木古内町大平,41,41.2,140,26.7,6,10,1.5,(昭50.4.18)昭52.10.14,－,－
渡島,23376,四,松前,ﾏﾂﾏｴ,松前郡松前町建石,41,25.4,140,5.2,30,10,1.5,#昭52.10.14,－,－
渡島,24141,四,熊石,ｸﾏｲｼ,二海郡八雲町熊石根崎町,42,7.7,139,59.1,12,10,1.5,#昭52.10.18,24905,－
檜山,24041,四,せたな,ｾﾀﾅ,久遠郡せたな町瀬棚区本町,42,27,139,51.1,10,10,1.5,#昭52.10.19,－,－
檜山,24051,四,今金,ｲﾏｶﾈ,瀬棚郡今金町今金,42,25.7,140,0.5,19,10,1.5,#昭52.10.19,24900,－
檜山,24101,四,奥尻,ｵｸｼﾘ,奥尻郡奥尻町字稲穂,42,14.9,139,33.4,5,6.5,1.5,平12.1.28,－,－
檜山,24201,四,鶉,ｳｽﾞﾗ,檜山郡厚沢部町鶉町,41,55.8,140,18.7,53,10,1.5,昭52.10.18,24910,－
檜山,24217,官,江差,ｴｻｼ,檜山郡江差町姥神町　江差特別地域気象観測所,41,52,140,7.4,4,19.6,－,昭54.8.30,24915,－
青森,31001,四,大間,ｵｵﾏ,下北郡大間町大間字狼丁,41,31.6,140,54.7,14,10,2,(昭50.5.24)昭51.11.24,31900,－
青森,31111,官,むつ,ﾑﾂ,むつ市金曲　むつ特別地域気象観測所,41,17,141,12.6,3,11.1,－,#昭50.12.10,31903,－
